inicio_ano,fim_ano,Estado,Ano,Mes,Tipo_de_arquivo
2007,2021,/mnt/dmlocal/dados/TRF,2021,10,/mnt/dmlocal/dados/TRF/TRF03/pdf
2007,2021,/mnt/dmlocal/dados/TRF,2021,10,/mnt/dmlocal/dados/TRF/TRF03/txt
2005,2021,/mnt/dmlocal/dados/TRF,2021,11,/mnt/dmlocal/dados/TRF/TRF01/pdf
2005,2021,/mnt/dmlocal/dados/TRF,2021,11,/mnt/dmlocal/dados/TRF/TRF01/txt
2009,2021,/mnt/dmlocal/dados/TRF,2021,11,/mnt/dmlocal/dados/TRF/TRF05/pdf
2009,2021,/mnt/dmlocal/dados/TRF,2021,11,/mnt/dmlocal/dados/TRF/TRF05/txt
2006,2023,/mnt/dmlocal/dados/TRF,2023,10,/mnt/dmlocal/dados/TRF/TRF04/pdf
2006,2023,/mnt/dmlocal/dados/TRF,2023,10,/mnt/dmlocal/dados/TRF/TRF04/txt
2000,2021,/mnt/dmlocal/dados/TRF,2021,10,/mnt/dmlocal/dados/TRF/TRF02/pdf
2009,2021,/mnt/dmlocal/dados/TRF,2021,10,/mnt/dmlocal/dados/TRF/TRF02/txt
2009,2023,/mnt/dmlocal/dados/PE,2023,5,/mnt/dmlocal/dados/PE/DJPE/pdf
2009,2023,/mnt/dmlocal/dados/PE,2023,5,/mnt/dmlocal/dados/PE/DJPE/txt
2006,2023,/mnt/dmlocal/dados/RS,2023,9,/mnt/dmlocal/dados/RS/DJRS/pdf
2006,2020,/mnt/dmlocal/dados/RS,2020,8,/mnt/dmlocal/dados/RS/DJRS/txt
2002,2022,/mnt/dmlocal/dados/MA,2022,10,/mnt/dmlocal/dados/MA/DJMA/pdf
2002,2020,/mnt/dmlocal/dados/MA,2020,7,/mnt/dmlocal/dados/MA/DJMA/txt
2008,2023,/mnt/dmlocal/dados/RJ,2023,10,/mnt/dmlocal/dados/RJ/DJRJ/pdf
2002,2023,/mnt/dmlocal/dados/RJ,2023,10,/mnt/dmlocal/dados/RJ/DJRJ/txt
2009,2023,/mnt/dmlocal/dados/BA,2023,10,/mnt/dmlocal/dados/BA/DJBA/pdf
2009,2023,/mnt/dmlocal/dados/BA,2023,10,/mnt/dmlocal/dados/BA/DJBA/txt
