,ano_mes,categoria,estado,fim_ano,inicio_ano,status,tipo,tribunal
-NhYruX5QvCzDfvaBtuK,2021/10,federal,TRF,2021,2007,False,txt,TRF03
-NhYrutlbI0hqRZtIn-6,2021/11,federal,TRF,2021,2005,False,txt,TRF01
-NhYrvG5v4nA83mmpLW7,2021/11,federal,TRF,2021,2009,False,txt,TRF05
-NhYrvWWnBXQmmMjSI6o,2023/10,federal,TRF,2023,2006,True,txt,TRF04
-NhYrwUcT4p5_i1Wspp8,2021/10,federal,TRF,2021,2009,False,txt,TRF02
-NhYrwyAd7NtMsuOOpFK,2023/5,estadual,PE,2023,2009,False,txt,DJPE
-NhYrxK7JrAHXNrpR6IS,2020/8,estadual,RS,2020,2006,False,txt,DJRS
-NhYrxZZOictVMnPg6wi,2020/7,estadual,MA,2020,2002,False,txt,DJMA
-NhYrxlcpsoE9Q__3PGX,2023/10,estadual,RJ,2023,2002,True,txt,DJRJ
-NhYryZEo03ZPJtPLFpR,2023/10,estadual,BA,2023,2009,True,txt,DJBA
-NhYrzGGqj8biDkRXbv-,2021/5,estadual,SE,2021,1999,False,txt,DJSE
-NhYrzN2oPymCGiN35rg,2021/1,estadual,MT,2021,2014,False,txt,DJMT
-NhYrzTnjetTvxIMnk-2,2022/8,estadual,TO,2022,2005,False,txt,DJTO
-NhYs-1-xDouBqzWMe4b,2023/10,estadual,AC,2023,2001,True,txt,DJAC
-NhYs-SX-vr9ss2e9JFB,2023/10,estadual,CE,2023,2003,True,txt,DJCE
-NhYs-tALDRQVdiGmRZY,2023/10,estadual,AL,2023,2009,True,txt,DJAL
-NhYs0EXkA_3RzhIF1hB,2023/10,estadual,PB,2023,2010,True,txt,DJPB
-NhYs0WUR9bo_GJkswNI,2023/10,estadual,MS,2023,2001,True,txt,DJMS
-NhYs0oZNsKWq5vIwC1O,2023/10,estadual,PI,2023,2006,True,txt,DJPI
-NhYs16mwYPEjrYRaCI6,2023/10,,DOU,2023,2016,True,txt,DOU
-NhYs4a4xRaoCAD1XQBb,2015/6,trabalhista,SP,2015,2008,False,txt,TRTSP
-NhYsBm-FKfmAlFYFjCv,2023/10,estadual,SP,2023,1980,True,txt,JUCESP
-NhYsD1lQ8U4mPUdcS-v,2023/10,estadual,SP,2023,1960,True,txt,DJSP
-NhYsFKJa4ETr-MGvxVj,2023/10,trabalhista,DEJT,2023,2008,True,txt,DEJT
-NhYsGZ-F4-w0rZhjCat,2023/9,estadual,ES,2023,2000,False,txt,DJES
-NhYsHYSw9R6eTpuzX4N,2021/12,estadual,RO,2021,2004,False,txt,DJRO
-NhYsIJyCEqsvjfgiino,2022/2,estadual,SC,2022,2003,False,txt,DJSC
-NhYsIczqs-SyMpQak3_,2022/12,estadual,RN,2022,2007,False,txt,DJRN
-NhYsIvRSo6Srv8ZotEf,2022/8,estadual,RR,2022,2003,False,txt,DJRR
-NhYsJEPLZbCN7oM2EDD,2020/6,estadual,MG,2020,2008,False,txt,DJMG
-NhYsJVugZA0QVNqQPoB,2023/10,estadual,PR,2023,2008,True,txt,DJPR
-NhYsJoT1d871Nm75NaN,2020/9,estadual,GO,2020,2011,False,txt,DJGO
